BROKERTITLE,TYPE, PRICE ,BEDS,BATH,PROPERTYSQFT,ADDRESS,Neighborhood/Boroughs,State,Zipcode,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,Buyer_FirstNames,Buyer_LastName,Buyer_Email,Buyer_Phone,Buyer_STREET,Buyer_UNIT,Buyer_CITY,Buyer_DISTRICT,Buyer_REGION,Buyer_Zipcode,Buyer_budget,Seller_FirstNames,Seller_LastNames,Seller_Email,Seller_Phone,Seller_STREET,Seller_UNIT,Seller_CITY,Seller_DISTRICT,Seller_REGION,Seller_Zipcode,Employee_Lastnames,Employee_Firstnames,Employees_phone,Employees_email,Start_date,Position, Salary , Commission ,Appointment_Date,Appointment_Time,Attendence,Property_id,Date_post,Property_status,Transaction_id,Transaction_date,Payment_status,Rating
Douglas Elliman - 575 Madison Ave,Pending,"36,000,000.00",8,10,16000,12 E 79th St,New York,NY,10075,United States,New York,New York County,New York,East 79th Street,"12 E 79th St, New York, NY 10075, USA",40.7764017,-73.9629479,Mccarthy, Samantha,mccarthysamantha@example.com,427-235-9733,Watertree Drive,,De Witt,Onondaga,NY,13057,34400000,Ramos, Rachel,ramosrachel@example.com,393-126-0617,State Route 481 South,,Fulton,Oswego,NY,13069,Lopez, Clint,727-737-3190,lopezclint@example.com,4/6/23,Real Estate Advisor,"121,143.00","1,800,000.00",7/10/20,12:00:32 PM,TRUE,2108,6/24/15,Sold,2108,2/12/21,Pending,5
Daniel Gale Sotheby's International Realty,Co-op,"575,000.00",2,2,2184.207862,99-15 66th Ave Unit 5H,Rego Park,NY,11374,New York,Queens County,Queens,Flushing,99-15,"99-15 66th Ave #5h, Flushing, NY 11374, USA",40.7287304,-73.8540818,Reiter, Cheri,reitercheri@example.com,137-561-2233,West River Road,,Fayette,Seneca,NY,13165,586000,Draper, Tyler,drapertyler@example.com,106-873-3711,Franklin Avenue,,White Plains,Westchester,NY,10601,Wise, Toi,628-338-4701,wisetoi@example.com,6/15/22,Listing Specialist,"50,000.00","28,750.00",9/7/17,1:43:50 PM,TRUE,2109,4/21/17,Pending,2109,2/22/20,Completed,2
COMPASS,Co-op,"850,000.00",1,1,2184.207862,720 Greenwich St Apt 7K,Manhattan,NY,10014,New York,New York County,New York,Manhattan,720,"720 Greenwich St Apt 7m, New York, NY 10014, USA",40.7343573,-74.0073312,Zevallos, Megan,zevallosmegan@example.com,157-576-2544,Depew Avenue,Apartment 2,Orangetown,Rockland,NY,10960,880000,Magnuson, Bonnie,magnusonbonnie@example.com,167-324-7040,Cornell Street,Unit 2,Rochester,Monroe,NY,14607,Harris, Bree,326-964-3174,harrisbree@example.com,7/10/22,Lead Negotiator,"102,933.00","42,500.00",11/27/07,3:41:42 PM,TRUE,2110,4/7/05,Active,2110,8/13/08,Completed,2
Corcoran Park Slope,Townhouse,"1,288,000.00",3,2,2184.207862,1114 78th St,Brooklyn,NY,11228,United States,New York,Kings County,Brooklyn,78th Street,"1114 78th St, Brooklyn, NY 11228, USA",40.6208518,-74.0133836,Yasumura, Malika,yasumuramalika@example.com,883-570-0652,Lindbergh Avenue,,Rensselaer,Rensselaer,NY,12144,1270000,Gillenwater, Nicholas,gillenwaternicholas@example.com,674-262-3042,Leader Road,,Fayette,Seneca,NY,13148,Vargas, Julieanna,813-172-4908,vargasjulieanna@example.com,8/9/19,Buyer Agent,"133,246.00","64,400.00",7/3/15,3:00:38 PM,TRUE,2111,8/26/09,Sold,2111,2/4/21,Completed,5
Charles H. Greenthal Property,Co-op,"309,000.00",1,2,1074,269-10 Grand Central Pkwy Unit 1A,Floral Park,NY,11005,New York,Queens County,Queens,Glen Oaks,269-10,"269-10 Grand Central Pkwy #1a, Queens, NY 11005, USA",40.7577974,-73.7159601,Navajo, Kaila,navajokaila@example.com,933-742-5551,Sixth Street,,Rochester,Monroe,NY,14605,285000,el-Ozer, Bilaal,elozerbilaal@example.com,752-488-8059,West Bridge Street,Unit A,Oswego,Oswego,NY,13126,Wiltse, Daniel,943-445-9475,wiltsedaniel@example.com,4/18/16,Sales Associate,"50,000.00","15,450.00",11/7/20,11:54:18 AM,TRUE,2112,10/6/20,Active,2112,12/1/21,Completed,3
Douglas Elliman  -111 Fifth Ave,Co-op,"999,000.00",3,1,2184.207862,839 W End Ave Apt 2A,New York,NY,10025,New York,New York County,New York,Manhattan,839,"839 West End Ave #2a, New York, NY 10025, USA",40.7983784,-73.9712947,Yanushonis, Mitzi,yanushonismitzi@example.com,817-768-8348,Indian Creek Lane,,Brunswick,Rensselaer,NY,12180,906000,Varela, Darcey,vareladarcey@example.com,845-260-8002,Middle Road,,Southold,Suffolk,NY,11971,Begay, Tevin,956-566-7530,begaytevin@example.com,3/22/16,Buyer Agent,"250,000.00","49,950.00",5/9/21,4:04:08 PM,TRUE,2113,5/9/21,Active,2113,5/13/21,Completed,2
HIGH CLASS REALTY SB LLC.,House,"2,700,000.00",5,2,2690,79 Dover St,Brooklyn,NY,11235,United States,New York,Kings County,Brooklyn,Dover Street,"79 Dover St, Brooklyn, NY 11235, USA",40.5801404,-73.9494604,el-Rahim, Raashid,elrahimraashid@example.com,148-964-7724,Redmond Avenue,,Islip,Suffolk,NY,11706,2770000,Wu, Joey,wujoey@example.com,099-465-9910,Woodland Terrace,,Orangetown,Rockland,NY,10962,Kong, Dominique,207-248-7566,kongdominique@example.com,6/16/20,Listing Specialist,"105,344.00","135,000.00",9/25/11,1:20:01 PM,TRUE,2114,12/8/08,Active,2114,10/26/13,Completed,2
Brown Harris Stevens,Co-op,"399,000.00",3,2,2184.207862,12 E 132nd St Apt 2A,Manhattan,NY,10037,New York,New York County,New York,Manhattan,12,"12 E 132nd St #2a, New York, NY 10037, USA",40.8102659,-73.9382868,Lansing, Sara,lansingsara@example.com,412-034-2700,Clayton Avenue,,Cortland,Cortland,NY,13045,453000,Harrison, Jaimin,harrisonjaimin@example.com,982-372-5910,Bushey Avenue,,Tupper Lake,Franklin,NY,12986,Vang, Kenta,263-502-6250,vangkenta@example.com,11/8/16,Listing Specialist,"50,000.00","19,950.00",9/29/13,10:02:46 AM,TRUE,2115,12/29/12,Pending,2115,12/28/18,Completed,2
Keller Williams Realty NYC Grp,House,"554,900.00",3,2,1890,717 E 221st St,Bronx,NY,10467,United States,New York,Bronx County,The Bronx,East 221st Street,"717 E 221st St, Bronx, NY 10467, USA",40.8849291,-73.8613097,Ylitalo, Cody,ylitalocody@example.com,422-497-4541,Muttontown Road,Apartment 53,Oyster Bay,Nassau,NY,11791,511000,Cannady, Letoria,cannadyletoria@example.com,291-586-0297,Halstead Avenue,,Cheektowaga,Erie,NY,14212,Regan, Zachary,421-506-9325,reganzachary@example.com,7/21/16,Buyer Agent,"205,288.00","27,745.00",7/1/17,4:07:48 PM,TRUE,2116,12/10/15,Pending,2116,12/10/17,Completed,3
Fillmore Real Estate,Condo,"399,000.00",1,1,561,2613 Emmons Ave Unit 326,Brooklyn,NY,11235,New York,Kings County,Brooklyn,Sheepshead Bay,2613,"2613 Emmons Ave #326, Brooklyn, NY 11235, USA",40.5839568,-73.9420847,Sherman, Trey,shermantrey@example.com,137-065-4960,Sherman Street,,Little Falls,Herkimer,NY,13365,383000,Stewart, Eamon,stewarteamon@example.com,829-612-9007,Castle Court,,Amherst,Erie,NY,14226,Vigil, Sienna,556-774-9294,vigilsienna@example.com,10/29/23,Listing Specialist,"58,985.00","19,950.00",6/3/11,2:40:15 PM,FALSE,2117,4/5/08,Under Contract,2117,10/20/11,Completed,2
EXP Realty,Condo,"675,000.00",2,2,904,92-29 Queens Blvd Unit 7H116,Rego Park,NY,11374,United States,New York,Queens County,Queens,Queens Boulevard,"92-29 Queens Blvd, Rego Park, NY 11374, USA",40.7324713,-73.8670804,Reveles-Galvan, Andrew,revelesgalvanandrew@example.com,270-399-5390,Walden Court,,Brookhaven,Suffolk,NY,11940,697000,Martel, Lakayla,martellakayla@example.com,170-060-2788,Water Mill Towd Road,,Southampton,Suffolk,NY,11976,Kuykendall, Brandon,363-767-5000,kuykendallbrandon@example.com,7/31/16,Listing Specialist,"187,542.00","33,750.00",2/2/22,12:57:47 PM,TRUE,2118,12/21/20,Withdrawn,2118,3/19/22,Canceled,2
Coldwell Banker American Homes,Co-op,"225,000.00",1,1,2184.207862,160-30 Cross Island Pkwy Unit 619,Whitestone,NY,11357,New York,Queens County,Queens,Whitestone,16030,"16030 Cross Island Pkwy #619, Whitestone, NY 11357, USA",40.7864852,-73.8017612,Montoya, Michelle,montoyamichelle@example.com,878-593-1075,Richmond Avenue,,Buffalo,Erie,NY,14222,212000,Jacob, Ryan,jacobryan@example.com,135-032-1833,Horizon Lane,,Troy,Rensselaer,NY,12182,Salazar Ponce De Leon, Maria,376-288-2001,salazarponcedeleonmaria@example.com,8/31/18,Listing Specialist,"122,102.00","11,250.00",5/2/18,12:57:12 PM,TRUE,2119,2/3/16,Pending,2119,3/15/20,Completed,3
Realty Connect USA LLC,Multi-family,"999,999.00",3,2,2184.207862,94-24 53rd Ave,Elmhurst,NY,11373,United States,New York,Queens County,Queens,53rd Avenue,"94-24 53rd Ave, Elmhurst, NY 11373, USA",40.7392278,-73.8677036,Kim, Jason,kimjason@example.com,310-982-7257,Crisfield Avenue,,Cheektowaga,Erie,NY,14206,1010000,el-Amara, Abdul Majeed,elamaraabdulmajeed@example.com,200-291-7655,Azalea Drive,,West Seneca,Erie,NY,14224,Allen, Kayla,721-366-7139,allenkayla@example.com,12/27/19,Listing Specialist,"76,509.00","49,999.95",12/11/22,1:50:45 PM,TRUE,2120,11/20/22,Under Contract,2120,12/21/22,Completed,3
Your Home Sold Guaranteed Realty Advisor LLC,Condo,"164,999.00",3,1,400,36 Hamilton Ave Apt 5B,Staten Island,NY,10301,New York,Richmond County,Staten Island,Mid Island,36,"36 Hamilton Ave #5b, Staten Island, NY 10301, USA",40.6449121,-74.0787385,Lozano, Fredrick,lozanofredrick@example.com,103-858-4650,Steven Terrace,,Geddes,Onondaga,NY,13219,164000,al-Zafar, Muneera,alzafarmuneera@example.com,323-448-8305,4th Street,Apartment 2,Troy,Rensselaer,NY,12180,al-Radi, Yahya,728-955-5612,alradiyahya@example.com,5/10/20,Real Estate Advisor,"53,919.00","8,249.95",1/2/15,1:58:08 PM,FALSE,2121,11/29/10,Withdrawn,2121,11/24/17,Canceled,3
Corcoran Chelsea/Flatiron,Condo,"13,000,000.00",4,4,3844,385 W 12th St Ph W,New York,NY,10014,United States,New York,New York County,New York,West 12th Street,"385 W 12th St, New York, NY 10014, USA",40.7377131,-74.0087585,Caldera, Isaac,calderaisaac@example.com,191-384-3129,Lincoln Avenue,Apartment 2R,Mount Pleasant,Westchester,NY,10570,11900000,Dizayee, Marcus,dizayeemarcus@example.com,141-158-2565,Jackson Street,Apartment B9,Hempstead,Nassau,NY,11550,Eide, Chase,405-475-4886,eidechase@example.com,12/13/16,Buyer Agent,"50,000.00","650,000.00",7/29/22,12:38:30 PM,FALSE,2122,7/12/22,Sold,2122,10/27/22,Completed,5
Corcoran Bedford Stuyvesant,Co-op,"235,000.00",1,1,2184.207862,118-18 Union Tpke Apt 15E,Queens,NY,11415,New York,Queens County,Queens,Kew Gardens,118-18,"118-18 Union Tpke #15e, Kew Gardens, NY 11415, USA",40.7123992,-73.8339305,Campos, Shane,camposshane@example.com,401-662-5227,North Avenue,,Pleasant Valley,Dutchess,NY,12578,254000,Wahleithner, Briana,wahleithnerbriana@example.com,836-392-7849,Kenview Avenue,,Tonawanda,Erie,NY,14217,al-Hares, Iyaad,316-389-4669,alharesiyaad@example.com,11/4/16,Real Estate Advisor,"82,498.00","11,750.00",1/4/16,12:34:34 PM,TRUE,2123,4/20/08,Active,2123,12/31/20,Completed,2
Corcoran East Side,Condo,"29,000,000.00",5,2,5508,180 E 88th St,New York,NY,10128,United States,New York,New York County,New York,East 88th Street,"180 E 88th St, New York, NY 10128, USA",40.7801822,-73.9536507,Bharatee, Austin,bharateeaustin@example.com,149-550-4930,Greer Hill Drive,,Ellicottville,Cattaraugus,NY,14731,31400000,Walker, Keili,walkerkeili@example.com,130-129-4413,Hempstead Turnpike,,Hempstead,Nassau,NY,11756,Solano, Jalen,963-368-9811,solanojalen@example.com,8/26/22,Real Estate Advisor,"87,518.00","1,450,000.00",5/31/17,10:54:55 AM,TRUE,2124,6/27/16,Withdrawn,2124,7/21/18,Canceled,2
Corcoran Park Avenue South,Co-op,"715,000.00",3,1,983,229 E 14th St Apt 3E,New York,NY,10003,New York,New York County,New York,Manhattan,229,"229 E 14th St #3e, New York, NY 10003, USA",40.7329326,-73.9858654,Reyes, Stephany,reyesstephany@example.com,102-386-3630,Lathrop Street,,Oswego,Oswego,NY,13126,788000,Stufflebean, Edwin,stufflebeanedwin@example.com,032-558-8501,South 1st Avenue,Apartment 2,Mount Vernon,Westchester,NY,10550,Farley, Casey,993-929-2481,farleycasey@example.com,7/18/20,Sales Associate,"50,000.00","35,750.00",7/2/10,3:19:59 PM,TRUE,2125,6/3/10,Pending,2125,11/30/10,Completed,1
LoHo Realty Inc,Co-op,"565,000.00",2,1,2184.207862,550 Grand St Apt H11E,New York City,NY,10002,New York,Kings County,Brooklyn,Southside,550,"550 Grand St #11e, Brooklyn, NY 11211, USA",40.7108846,-73.9496434,Yee, Brandon,yeebrandon@example.com,391-222-7178,Jackson Corners Road,,Gallatin,Columbia,NY,12571,636000,Allen, Korianne,allenkorianne@example.com,466-136-3064,East Avenue,Suite 718,Rochester,Monroe,NY,14610,al-Hallal, Fidda,585-316-2734,alhallalfidda@example.com,10/23/17,Buyer Agent,"50,000.00","28,250.00",8/23/18,2:24:29 PM,TRUE,2126,7/4/17,Active,2126,8/20/19,Completed,2
COMPASS,Townhouse,"1,650,000.00",7,6,2184.207862,525 W 150th St,Manhattan,NY,10031,United States,New York,New York County,New York,West 150th Street,"525 W 150th St, New York, NY 10031, USA",40.8290653,-73.9463359,Sarsfield, Peyton,sarsfieldpeyton@example.com,389-513-0605,Palmer Avenue,Apartment 2A,Mamaroneck,Westchester,NY,10538,1560000,el-Ahmad, Qamraaa,elahmadqamraaa@example.com,748-531-5479,Sage Avenue,,Buffalo,Erie,NY,14210,Bear-Flores, Michael,623-280-2801,bearfloresmichael@example.com,9/7/20,Buyer Agent,"167,634.00","82,500.00",2/15/16,3:44:35 PM,TRUE,2127,5/1/14,Withdrawn,2127,7/23/20,Canceled,3
Brown Harris Stevens,Co-op,"1,200,000.00",2,2,1100,185 Prospect Park SW Apt 304,Brooklyn,NY,11218,New York,Kings County,Brooklyn,Windsor Terrace,185,"185 Prospect Park Southwest Apt 304, Brooklyn, NY 11218, USA",40.6533033,-73.9730719,Metellus, Faunte,metellusfaunte@example.com,419-600-5901,Tanglewood Lake Road,,Delhi,Delaware,NY,13752,1140000,Chan, Taylor,chantaylor@example.com,144-264-3986,Hudson Avenue East,Apartment 2,East Greenbush,Rensselaer,NY,12144,Mickelson, Clint,462-581-4218,mickelsonclint@example.com,4/10/17,Lead Negotiator,"134,646.00","60,000.00",8/11/12,10:25:05 AM,TRUE,2128,5/3/05,Active,2128,4/24/17,Completed,2
Douglas Elliman - 575 Madison Ave,Multi-family,"3,975,000.00",4,4,3181,146 Newel St,Brooklyn,NY,11222,United States,New York,Kings County,Brooklyn,Newel Street,"146 Newel St, Brooklyn, NY 11222, USA",40.7273631,-73.948662,Howard, Christopher,howardchristopher@example.com,047-701-5458,Keller Road,,Busti,Chautauqua,NY,14710,4070000,Hamlin, Alexandrea,hamlinalexandrea@example.com,150-918-8535,Penstock Lane,,Ulster,Ulster,NY,12449,el-Shaban, Saleel,866-116-2431,elshabansaleel@example.com,6/21/17,Buyer Agent,"223,039.00","198,750.00",9/16/14,2:58:37 PM,TRUE,2129,2/1/12,Withdrawn,2129,9/23/15,Canceled,3
Mirador Real Estate LLC,Co-op,"1,049,000.00",2,1,2184.207862,376 West St Apt 2B,New York,NY,10014,New York,New York County,New York,Manhattan,376,"376 West St #2b, New York, NY 10014, USA",40.7316025,-74.0100989,Leach, Cheryl,leachcheryl@example.com,082-586-1948,Herman Boulevard,,Hempstead,Nassau,NY,11010,1110000,Thompson, Brandon,thompsonbrandon@example.com,133-733-1576,Old Main Street,,Catskill,Greene,NY,12414,Ramirez Trejo, Anthony,398-627-6857,ramireztrejoanthony@example.com,2/17/16,Listing Specialist,"50,000.00","52,450.00",1/4/18,9:32:55 AM,TRUE,2130,6/17/17,Active,2130,5/15/19,Completed,3
"Homes R Us Realty of NY, Inc.",House,"949,900.00",4,2,1680,489 Maine Ave,Staten Island,NY,10314,United States,New York,Richmond County,Staten Island,Maine Avenue,"489 Maine Ave, Staten Island, NY 10314, USA",40.6217558,-74.1413145,el-Massoud, Fikra,elmassoudfikra@example.com,202-668-4615,West Avenue,,Hempstead,Nassau,NY,11559,917000,el-Nasr, Hafsa,elnasrhafsa@example.com,932-834-9957,Thacher Street,,Hornell,Steuben,NY,14843,al-Hussain, Kinaana,630-623-3676,alhussainkinaana@example.com,4/2/15,Lead Negotiator,"91,602.00","47,495.00",10/31/09,12:04:43 PM,TRUE,2131,6/26/08,Active,2131,3/19/13,Completed,3
Prime Realty,Multi-family,"1,199,000.00",6,3,2184.207862,79-28 68th Ave,Middle Village,NY,11379,United States,New York,Queens County,Queens,68th Avenue,"79-28 68th Ave, Middle Village, NY 11379, USA",40.711017,-73.8723608,Bower, Nicholas,bowernicholas@example.com,233-905-6382,Burlingham Road,,Shawangunk,Ulster,NY,12566,1140000,Lor, Leslie,lorleslie@example.com,043-113-2763,Weber Hill Road,,Carmel,Putnam,NY,10512,Rios, Abigail,340-824-9414,riosabigail@example.com,9/13/19,Lead Negotiator,"57,891.00","59,950.00",11/7/10,1:12:48 PM,TRUE,2132,10/6/10,Under Contract,2132,5/20/11,Completed,3
Exit Realty Prime,Pending,"765,000.00",4,2,2184.207862,46-10 Glenwood St,Little Neck,NY,11362,United States,New York,Queens County,Queens,Glenwood Street,"46-10 Glenwood St, Flushing, NY 11362, USA",40.7714061,-73.732929,Babcock, Trevon,babcocktrevon@example.com,052-364-0179,Squadron Boulevard,Unit 460,Clarkstown,Rockland,NY,10956,717000,el-Ibrahim, Rutaiba,elibrahimrutaiba@example.com,138-522-0273,Tremont Avenue,,Tonawanda,Erie,NY,14217,Lawson, Amara,788-871-4089,lawsonamara@example.com,2/15/22,Sales Associate,"50,000.00","38,250.00",11/12/16,11:34:01 AM,TRUE,2133,12/18/05,Pending,2133,2/28/19,Pending,1
Mirador Real Estate LLC,Co-op,"1,049,000.00",2,1,2184.207862,376 West St Apt 2B,New York,NY,10014,New York,New York County,New York,Manhattan,376,"376 West St #2b, New York, NY 10014, USA",40.7316025,-74.0100989,Gutierrez, Brayan,gutierrezbrayan@example.com,468-153-7547,Ketcham Lane,,Mount Hope,Orange,NY,10963,1200000,al-Nazar, Nu'ma,alnazarnuma@example.com,157-526-0601,Sullivan Street,,Cazenovia,Madison,NY,13035,Ramirez Trejo, Anthony,398-627-6857,ramireztrejoanthony@example.com,2/17/16,Listing Specialist,"50,000.00","52,450.00",5/9/20,3:13:43 PM,TRUE,2134,3/6/19,Withdrawn,2134,9/23/20,Canceled,2
"Homes R Us Realty of NY, Inc.",House,"949,900.00",4,2,1680,489 Maine Ave,Staten Island,NY,10314,United States,New York,Richmond County,Staten Island,Maine Avenue,"489 Maine Ave, Staten Island, NY 10314, USA",40.6217558,-74.1413145,Barajas, Marisa,barajasmarisa@example.com,105-719-5564,State Route 3,,Wilna,Jefferson,NY,13619,711000,Lightfoot, Smokey,lightfootsmokey@example.com,102-773-8399,Clifford Avenue,,Colonie,Albany,NY,12110,al-Hussain, Kinaana,630-623-3676,alhussainkinaana@example.com,4/2/15,Lead Negotiator,"91,602.00","47,495.00",9/21/09,2:07:35 PM,FALSE,2135,4/10/08,Sold,2135,2/28/16,Completed,5
Prime Realty,Multi-family,"1,199,000.00",6,3,2184.207862,79-28 68th Ave,Middle Village,NY,11379,United States,New York,Queens County,Queens,68th Avenue,"79-28 68th Ave, Middle Village, NY 11379, USA",40.711017,-73.8723608,Cheek, Dalvin,cheekdalvin@example.com,580-552-4168,South Cole Court,,Ramapo,Rockland,NY,10977,1170000,Colin, Michael,colinmichael@example.com,117-866-8512,Broadway,Apartment N11,Hempstead,Nassau,NY,11557,Rios, Abigail,340-824-9414,riosabigail@example.com,9/13/19,Lead Negotiator,"57,891.00","59,950.00",7/28/17,4:20:56 PM,TRUE,2136,2/11/17,Withdrawn,2136,12/26/20,Canceled,3
Macaluso Realty,Townhouse,"849,000.00",3,2,1296,66-27 Gray St,Middle Village,NY,11379,United States,New York,Queens County,Queens,Gray Street,"66-27 Gray St, Flushing, NY 11379, USA",40.7149915,-73.8775275,Apodaca, Catherine,apodacacatherine@example.com,658-715-1540,Freedom Lane,,Brookhaven,Suffolk,NY,11727,852000,Jiron, Luis,jironluis@example.com,791-078-7845,Longwood Road,,North Hempstead,Nassau,NY,11050,Embry, Richard,658-266-4362,embryrichard@example.com,3/4/17,Real Estate Advisor,"50,000.00","42,450.00",1/9/15,12:58:53 PM,TRUE,2137,11/28/14,Pending,2137,4/11/15,Completed,3
Douglas Elliman - Bayside,Multi-family,"999,000.00",4,3,2184.207862,60-65 55th St,Maspeth,NY,11378,United States,New York,Queens County,Queens,55th Street,"60-65 55th St, Flushing, NY 11378, USA",40.7148444,-73.9102315,Miller, Dakota,millerdakota@example.com,017-950-0549,Albany Street,,Cazenovia,Madison,NY,13035,893000,Jones, Marissa,jonesmarissa@example.com,178-389-6429,Duncan Lane,,Johnstown,Fulton,NY,12095,Quach, Timothy,759-766-9258,quachtimothy@example.com,2/19/18,Buyer Agent,"50,000.00","49,950.00",1/22/14,11:45:16 AM,TRUE,2138,5/9/12,Sold,2138,8/15/19,Completed,5
Prospes Real Estate Corp,Multi-family,"1,280,000.00",9,6,2184.207862,99-11 43rd Ave,Corona,NY,11368,United States,New York,Queens County,Queens,43rd Avenue,"99-11 43rd Ave, Flushing, NY 11368, USA",40.7468366,-73.8644973,al-Kalil, Sumayya,alkalilsumayya@example.com,594-209-3963,Valentine Street,Apartment 1,Mount Vernon,Westchester,NY,10550,1320000,Mcgowan, Sadyan,mcgowansadyan@example.com,389-116-4237,Tolbert Drive,,Clay,Onondaga,NY,13212,Zade, Sabra,485-773-8529,zadesabra@example.com,12/5/16,Real Estate Advisor,"84,906.00","64,000.00",7/29/21,4:24:05 PM,TRUE,2139,10/7/19,Sold,2139,5/22/22,Completed,3
Douglas Elliman - 575 Madison Ave,Pending,"1,999,000.00",3,4,2840,158 Jaffrey St,Brooklyn,NY,11235,United States,New York,Kings County,Brooklyn,Jaffray Street,"158 Jaffray St, Brooklyn, NY 11235, USA",40.5789619,-73.9430773,Martinez, Loretta,martinezloretta@example.com,793-309-1687,Valley Road,,Clarkstown,Rockland,NY,10989,1600000,Kue, Cassidy,kuecassidy@example.com,150-605-1432,Highland Street,,Syracuse,Onondaga,NY,13203,al-Karam, Najeeb,933-376-5065,alkaramnajeeb@example.com,12/2/15,Buyer Agent,"164,142.00","99,950.00",10/30/15,1:43:02 PM,TRUE,2140,3/6/15,Under Contract,2140,8/21/19,Pending,3
Keller Williams NYC - New York Living Solutions,Co-op,"560,000.00",1,1,700,200 E 36th St Apt 17G,New York,NY,10016,New York,New York County,New York,Manhattan,200,"200 E 36th St #17g, New York, NY 10016, USA",40.7467649,-73.976998,Kanack, Danielle,kanackdanielle@example.com,186-482-4945,Bergtold Road,,Clarence,Erie,NY,14031,613000,Mcnew, Zengda,mcnewzengda@example.com,428-910-6319,Irish Hill Road,,Ellicottville,Cattaraugus,NY,14731,al-Aly, Mahdeeya,433-197-3421,alalymahdeeya@example.com,4/20/16,Real Estate Advisor,"216,940.00","28,000.00",11/7/17,9:33:38 AM,FALSE,2141,12/25/16,Sold,2141,5/26/18,Completed,4
Douglas Elliman - 575 Madison Ave,House,"26,995,000.00",8,10,8360,995 Fifth Ave Unit 16,New York,NY,10028,New York,New York County,New York,Manhattan,995,"995 5th Ave Fl 16, New York, NY 10028, USA",40.7780041,-73.9625466,Houck, Christopher,houckchristopher@example.com,057-706-3104,Eggert Road,Suite 3,Amherst,Erie,NY,14226,22500000,Newton, Steven,newtonsteven@example.com,544-463-0578,Conklin Terrace,,East Hampton,Suffolk,NY,11937,Aranda, Rhett,715-778-8623,arandarhett@example.com,7/13/23,Lead Negotiator,"50,000.00","1,349,750.00",4/6/06,3:35:02 PM,TRUE,2142,5/7/05,Pending,2142,4/7/16,Completed,1
DiTommaso Real Estate,Multi-family,"1,450,000.00",5,4,3252,169 Crown Ave,Staten Island,NY,10312,United States,New York,Richmond County,Staten Island,Crown Avenue,"169 Crown Ave, Staten Island, NY 10312, USA",40.5504262,-74.186404,Wellington, Loutricia,wellingtonloutricia@example.com,124-576-6840,Ardsley Road,Suite 1A,Greenburgh,Westchester,NY,10583,1130000,Ortiz, Desiree,ortizdesiree@example.com,733-527-3440,German Cross Road,,Dryden,Tompkins,NY,14850,Wu, Lia,809-906-6564,wulia@example.com,4/8/15,Sales Associate,"65,327.00","72,500.00",4/14/12,2:47:11 PM,TRUE,2143,8/5/05,Sold,2143,9/15/19,Completed,4
BROOKLYN`S 4 U REALTY,Multi-family,"1,599,000.00",5,3,2424,2230 National Dr,Brooklyn,NY,11234,United States,New York,Kings County,Brooklyn,National Drive,"2230 National Dr, Brooklyn, NY 11234, USA",40.6062747,-73.9157858,John III, Taylor,johniiitaylor@example.com,676-390-6381,Ashdown Road,,Clifton Park,Saratoga,NY,12019,1470000,Allison, Mitchell,allisonmitchell@example.com,845-330-2159,Ronald Drive North,,Babylon,Suffolk,NY,11701,Gadison, Sophie,595-895-2273,gadisonsophie@example.com,4/19/15,Sales Associate,"50,000.00","79,950.00",12/13/18,1:08:19 PM,TRUE,2144,4/17/14,Pending,2144,7/27/19,Completed,2
Realty Executives Metro Garden,Co-op,"255,000.00",1,1,650,66-36 Yellowstone Blvd Unit 26C,Forest Hills,NY,11375,New York,Queens County,Queens,Forest Hills,6636,"6636 Yellowstone Blvd Apt 26b, Forest Hills, NY 11375, USA",40.7291499,-73.84944,Romero, Herzibeth,romeroherzibeth@example.com,041-306-3054,Garden Walk,,Clarence,Erie,NY,14032,259000,Perez, Geobana,perezgeobana@example.com,095-192-9576,Woodtract Road,,Wolcott,Wayne,NY,14590,Ruth, Joseph,564-169-4444,ruthjoseph@example.com,11/26/16,Listing Specialist,"110,250.00","12,750.00",1/23/18,2:04:25 PM,TRUE,2145,10/22/17,Withdrawn,2145,9/27/18,Canceled,2
COMPASS,Co-op,"995,000.00",2,2,2184.207862,425 W 24th St Apt 1E,Manhattan,NY,10011,New York,New York County,New York,Manhattan,425,"425 W 24th St #1a, New York, NY 10011, USA",40.747844,-74.00189,Huppert, Athena,huppertathena@example.com,015-951-4592,Route 38,,Sterling,Cayuga,NY,13156,930000,Lopez, Corey,lopezcorey@example.com,184-952-7873,East Avenue,,Rochester,Monroe,NY,14610,Salazar, Karla,909-814-7166,salazarkarla@example.com,8/9/21,Listing Specialist,"50,000.00","49,750.00",12/15/17,10:13:35 AM,FALSE,2146,5/31/15,Under Contract,2146,1/10/22,Completed,2
